,reference_id,weapon_name,itemTypeDisplayName,itemTypeAndTierDisplayName,itemType,itemSubType,tierTypeName,equipmentSlotTypeHash,itemCategoryHashes,levels,loreHash_list
0,423789,Mythos Hack 4.1,Gauntlets,Rare Gauntlets,2,27,Rare,3551918588.0,"[23, 46, 20]","[33, 32, 30, 29, 20, 19, 17, 15, 13, 11, 9, 7, 5, 4, 3, 2, 1, 0]",
1,4425887,The Time-Worn Spire,Pulse Rifle,Legendary Pulse Rifle,3,13,Legendary,1498876634.0,"[2, 1, 7]","[33, 1]",
2,7242309,Future War Cult Arsenal,Armor Set,Legendary Armor Set,0,0,Legendary,,[2423200735],[20],
3,7242310,Future War Cult Arsenal,Armor Set,Legendary Armor Set,0,0,Legendary,,[2423200735],[20],
4,10307688,Wildwood Plate,Chest Armor,Legendary Chest Armor,2,28,Legendary,14239492.0,"[22, 47, 20]","[33, 1, 0]",
5,10493725,The Pyramidion,Emblem,Legendary Emblem,14,0,Legendary,4274335291.0,"[19, 52]",[0],
6,10653108,Lighthouse Engram,Engram,Legendary Engram,8,0,Legendary,,[34],,
7,11686456,Dreamer's Cloak,Hunter Cloak,Common Hunter Cloak,2,30,Common,1585787867.0,"[23, 49, 20]",[2],
8,11686457,Unethical Experiments Cloak,Hunter Cloak,Rare Hunter Cloak,2,30,Rare,1585787867.0,"[23, 49, 20]",,
9,11686458,Orobas Vectura Cloak,Hunter Cloak,Rare Hunter Cloak,2,30,Rare,1585787867.0,"[23, 49, 20]",,
10,13719069,Atgeir Mark,Titan Mark,Uncommon Titan Mark,2,30,Uncommon,1585787867.0,"[22, 49, 20]","[20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 3, 2, 0]",
11,13792278,Hitmark IS,Sight,Legendary Sight,19,0,Legendary,,"[3866509906, 610365472, 59]",,
12,13792279,Cleanshot IS,Sight,Legendary Sight,19,0,Legendary,,"[3866509906, 610365472, 59]",,
13,15675613,Arcology Engram,Engram,Legendary Engram,8,0,Legendary,,[34],,
14,16277432,Honors of the Nine,Shader,Legendary Shader,19,20,Legendary,,"[41, 52]",[1],
15,16277433,Gift of the Nine,Shader,Legendary Shader,19,20,Legendary,,"[41, 52]",[1],
16,17240750,Runed Tablet,,,0,0,Common,,[],,
17,19024058,Prometheus Lens,Trace Rifle,Exotic Trace Rifle,3,25,Exotic,2465295065.0,"[3, 1, 2489664120]","[33, 32, 31, 30, 29, 27, 20, 1, 0]",19024058.0
18,19580948,"Meditation: ""Spark""",,,20,0,Legendary,,[3109687656],,
19,19962737,Chasing Perfection,Emblem,Legendary Emblem,14,0,Legendary,4274335291.0,"[19, 52]",[0],
20,20859173,Symbiosis,Weapon Ornament,Exotic Weapon Ornament,19,21,Exotic,,"[56, 52, 59, 3124752623, 610365472]","[1, 0]",
21,21208259,New Subclass,,,20,0,,,[3109687656],,
22,24244626,Mark of Shelter,Titan Mark,Legendary Titan Mark,2,30,Legendary,1585787867.0,"[22, 49, 20]","[33, 1, 0]",1382044979.0
23,25692695,The Scientific Method,Trait,Legendary Trait,19,0,Legendary,,"[3708671066, 610365472, 59]",,
24,25798127,Sovereign Grips,Gauntlets,Legendary Gauntlets,2,27,Legendary,3551918588.0,"[23, 46, 20]","[33, 1, 0]",
25,28479854,Take Shelter Ornament,Armor Ornament,Legendary Armor Ornament,19,21,Legendary,,"[56, 52, 59, 3229540061, 1742617626, 4104513227]",[0],
26,30962014,Boots of the Emperor's Agent,Leg Armor,Legendary Leg Armor,2,29,Legendary,20886954.0,"[23, 48, 20]","[33, 32, 31, 30, 27, 0]",30962014.0
27,30962015,Boots of the Ace-Defiant,Leg Armor,Legendary Leg Armor,2,29,Legendary,20886954.0,"[23, 48, 20]","[33, 32, 31, 30, 27, 1, 0]",30962015.0
28,31057037,Omolon Adaptive Frame,Intrinsic,Exotic Intrinsic,19,0,Exotic,,"[2237038328, 610365472, 59]",,
29,31555988,Dual Speed Receiver,Trait,Legendary Trait,19,0,Legendary,,"[3708671066, 610365472, 59]",,
30,31953744,Holy Ground,Emblem,Rare Emblem,14,0,Rare,4274335291.0,"[19, 52]",[0],
31,31953746,Traveler's Flight,Emblem,Rare Emblem,14,0,Rare,4274335291.0,"[19, 52]",[0],
32,31953747,Ballet Lover,Emblem,Rare Emblem,14,0,Rare,4274335291.0,"[19, 52]",[0],
33,33173512,Fossilized Hermaion Blossom,Prophecy Offering,Rare Prophecy Offering,20,0,Rare,,"[2005599723, 35, 52, 3109687656]",,
34,34846448,Xenos Vale IV,Chest Armor,Legendary Chest Armor,2,28,Legendary,14239492.0,"[21, 47, 20]","[33, 1, 0]",
35,36130859,Ankaa Friend Ornament,Armor Ornament,Legendary Armor Ornament,19,21,Legendary,,"[56, 52, 59, 3684181176, 1742617626, 4104513227]",[0],
36,37017314,,,,0,0,Common,,[],,
37,38185082,,,,0,0,Common,,[],,
38,38529944,Flashpoint: Io,,,0,0,,,[],[0],
39,38600052,,,,0,0,Common,,[],,
40,38686244,"Lost Prophecy, Verse 4",Prophecy Tablet,Legendary Prophecy Tablet,20,0,Legendary,,"[2250046497, 35, 52, 3109687656]",[0],
41,38686245,"Lost Prophecy, Verse 8",Prophecy Tablet,Legendary Prophecy Tablet,20,0,Legendary,,"[2250046497, 35, 52, 3109687656]",[0],
42,39869035,Rework Armor,,,19,0,Legendary,,"[59, 141186804]",,
