"","team","nn1","nn2","nn3","nn4","nn5","nn6","nn7","nn8","nn9","nn10"
"1",2.30584300926029e+75,"2305843009260294880230584300926065511223058430092657851422305843009265925242","2305843009262653082230584300926524401623058430092656480852305843009268063471","2305843009260688946230584300926280128123058430092707704402305843009271104057","2305843009260968894230584300926738812223058430092843640512305843009291875933","2305843009261071113230584300926168848723058430092622411882305843009268495494","2305843009261284266230584300927300787623058430092797050372305843009292156036","2305843009261604800230584300926407811923058430092853464222305843009285934965","2305843009261681740230584300927153791523058430092833157842305843009294696474","2305843009261988200230584300926828253623058430092703063802305843009277538054","2305843009262076314230584300926316873023058430092721089562305843009277299610"
"2",2.3058430092603e+75,"2305843009260301047230584300926407495723058430092908951392305843009290965137","2305843009260359003230584300926089213523058430092616714782305843009261779825","2305843009260616322230584300926123755423058430092723081192305843009291826891","2305843009260619344230584300926327503423058430092905051332305843009294928010","2305843009261973826230584300926500092823058430092682250792305843009276379316","2305843009262979633230584300926344741023058430092734252802305843009277999795","2305843009263075358230584300926314498823058430092638949192305843009264485056","2305843009269921820230584300929147653123058430093218769222305843009322016813","2305843009271395094230584300927163803223058430092721191402305843009272535106","2305843009285378434230584300928596688723058430093062291572305843009307125061"
"3",2.3058430092603e+75,"2305843009260304802230584300926112491023058430092627147842305843009269893032","2305843009262267188230584300926246965023058430092678144102305843009268766294","2305843009260316089230584300926062538423058430092612055292305843009261749690","2305843009260370881230584300927664871623058430092840246072305843009299874052","2305843009260475640230584300926534777523058430092676648102305843009268722644","2305843009260606588230584300926678495523058430092769986632305843009284085075","2305843009260792468230584300926195854023058430092690676952305843009279248261","2305843009260805985230584300926292172323058430092634516952305843009293234257","2305843009260934711230584300926283486023058430092653797492305843009267694431","2305843009261106168230584300926215561823058430092623157082305843009299351827"
"4",2.30584300926031e+75,"2305843009260306096230584300926893816923058430092689547272305843009284689157","2305843009262351141230584300926545119623058430092678704232305843009270167488","2305843009260725237230584300926101451123058430092623352742305843009273555447","2305843009260814461230584300926207474323058430092736348982305843009277728580","2305843009260946452230584300926264761723058430092636374842305843009270560242","2305843009261202529230584300926159899823058430092646542502305843009271676045","2305843009261475509230584300926206610023058430092680093002305843009269594248","2305843009261480223230584300926258291123058430092649871572305843009269660741","2305843009262366837230584300926502311023058430092771160642305843009279578811","2305843009262924299230584300926905473223058430092711278312305843009278128808"
"5",2.30584300926031e+75,"2305843009260307017230584300926409646823058430092643115142305843009267824705","2305843009268585209230584300927121798223058430092933850122305843009325314758","2305843009260304802230584300926112491023058430092627147842305843009269893032","2305843009260316089230584300926062538423058430092612055292305843009261749690","2305843009260405738230584300926427979223058430092654026102305843009279810237","2305843009260474638230584300926100432223058430092857179292305843009295568792","2305843009260505666230584300926087581123058430092684491332305843009279188848","2305843009260606588230584300926678495523058430092769986632305843009284085075","2305843009260978030230584300926336759323058430093261049632305843009327645011","2305843009261103193230584300926428461023058430092658239382305843009291426822"
"6",2.30584300926031e+75,"2305843009260309699230584300926052035523058430092659082862305843009283578425","2305843009264154394230584300926823795423058430093262551172305843009326794952","2305843009260719044230584300926114846223058430092646785922305843009269916329","2305843009260769477230584300926083111323058430092652349532305843009300113786","2305843009261760656230584300926177389523058430092737345032305843009285274968","2305843009261868610230584300926193820723058430092679085922305843009290916332","2305843009262624337230584300926424603623058430092770483832305843009283694725","2305843009266865827230584300926818934523058430092698658672305843009277596230","2305843009268315662230584300929147799723058430092934485662305843009293605543","2305843009270167181230584300927060078823058430092712294812305843009271619377"
"7",2.30584300926031e+75,"2305843009260313050230584300926156342923058430092662893912305843009294828645","2305843009260352470230584300926051921123058430092915278022305843009294788568","2305843009260495958230584300926189529623058430092840459922305843009285016325","2305843009260915365230584300926334286323058430092643583482305843009270341034","2305843009261927631230584300926232826423058430092625662622305843009263422839","2305843009262021451230584300926210095623058430092627306672305843009270570840","2305843009262515791230584300926534986123058430092842393412305843009300544231","2305843009262942597230584300926308197623058430092631393942305843009266788289","2305843009263033722230584300926933405723058430092702826912305843009276789766","2305843009264303179230584300926589287523058430092668831102305843009266902329"
"8",2.30584300926031e+75,"2305843009260314368230584300928558757523058430092859879742305843009294145614","2305843009261305552230584300926439300923058430092646338202305843009265400817","2305843009260320897230584300926158113123058430092859363332305843009289667258","2305843009260864613230584300927047462323058430092921781992305843009294385584","2305843009260927886230584300926104304523058430092708054402305843009284844626","2305843009261705434230584300926206581823058430092634237592305843009266498011","2305843009262021451230584300926210095623058430092627306672305843009270570840","2305843009262349480230584300927163962823058430092920552912305843009300562905","2305843009265714465230584300926834229823058430092691094612305843009321336324","2305843009266152565230584300928990810923058430092942876532305843009294937860"
"9",2.30584300926031e+75,"2305843009260314920230584300926119480823058430092642156462305843009268588711","2305843009267982972230584300929095525023058430092934153692305843009294876926","2305843009260375180230584300926283741623058430092635532192305843009265262034","2305843009260505665230584300926087581123058430092659840292305843009270796646","2305843009261103193230584300926428461023058430092658239382305843009291426822","2305843009261222181230584300926149827423058430092672487032305843009290767219","2305843009261280415230584300926237822623058430092671890192305843009271009965","2305843009261293609230584300926169810423058430092641942552305843009264217552","2305843009261339259230584300927016718123058430092706007882305843009271619377","2305843009261380749230584300929209502423058430093001151492305843009314085940"
"10",2.30584300926031e+75,"2305843009260314920230584300926119480923058430092642156462305843009290826059","2305843009260391500230584300926116969623058430092618029862305843009263899773","2305843009261654382230584300926221436223058430092645011362305843009290515451","2305843009260605870230584300926385970323058430092706078662305843009284228217","2305843009260840596230584300926321897123058430092632766722305843009285925473","2305843009260841612230584300926451871423058430092649884422305843009294794930","2305843009260983216230584300926218092523058430092773840972305843009285144373","2305843009261953734230584300927229723923058430092766070582305843009285344665","2305843009262648472230584300926568630923058430092844077492305843009294057581","2305843009263832358230584300927907886923058430092845560522305843009293658864"
"11",2.30584300926032e+75,"2305843009260316089230584300926062538423058430092612055292305843009261749690","2305843009260304802230584300926112491023058430092627147842305843009269893032","2305843009260474638230584300926100432223058430092857179292305843009295568792","2305843009260475640230584300926534777523058430092676648102305843009268722644","2305843009260647802230584300926236631123058430092625157952305843009299254189","2305843009260978030230584300926336759323058430093261049632305843009327645011","2305843009262267188230584300926246965023058430092678144102305843009268766294","2305843009262926963230584300926543993523058430093009269732305843009330034029","2305843009263745634230584300926936459123058430092768485822305843009326695119","2305843009265694102230584300927775885023058430092914954662305843009291548992"
"12",2.30584300926032e+75,"2305843009260316283230584300926314086023058430092645178102305843009271474006","2305843009261986084230584300926332787223058430092683433102305843009269168487","2305843009262423058230584300926242937523058430092658269542305843009320766591","2305843009260346803230584300926240647023058430092677690492305843009285177272","2305843009260352470230584300926051921123058430092915278022305843009294788568","2305843009260616888230584300926163655023058430092626767542305843009283844115","2305843009261386828230584300926232117423058430092641168692305843009269441250","2305843009262340928230584300926346694523058430092654173122305843009277136598","2305843009262422594230584300926601367423058430092945788412305843009295658622","2305843009262431497230584300926907749523058430092716650072305843009277029666"
"13",2.30584300926032e+75,"2305843009260317577230584300926310139923058430092639057532305843009265306956","2305843009260540284230584300926357807423058430092651426392305843009285657771","2305843009260719268230584300926183370023058430092632059452305843009277656961","2305843009262499668230584300926539276323058430092657336782305843009266803726","2305843009260375180230584300926283741623058430092635532192305843009265262034","2305843009260568300230584300926071829823058430092634244382305843009266015628","2305843009261027829230584300926387881523058430092666473672305843009286169490","2305843009261830169230584300926377095323058430092734555082305843009292318261","2305843009261922949230584300926198236823058430092623733662305843009292026313","2305843009262029854230584300927059679223058430092713386812305843009278158532"
"14",2.30584300926032e+75,"2305843009260320897230584300926158113123058430092859363332305843009289667258","2305843009260864613230584300927047462323058430092921781992305843009294385584","2305843009260314368230584300928558757523058430092859879742305843009294145614","2305843009260762443230584300926269936623058430092646859232305843009294944574","2305843009261305552230584300926439300923058430092646338202305843009265400817","2305843009264234612230584300927958134623058430092920665962305843009295274408","2305843009266646544230584300926718111223058430092776649752305843009278119664","2305843009271469179230584300927843617123058430092843650532305843009284565667","2305843009260346803230584300926240647023058430092677690492305843009285177272","2305843009260360664230584300926148183323058430092647497862305843009266475165"
"15",2.30584300926032e+75,"2305843009260322782230584300927686529223058430092848854692305843009294824270","2305843009264599653230584300926941611223058430092841551382305843009295737353","2305843009260393107230584300926062114123058430092796672012305843009285897611","2305843009261058788230584300926204955923058430092785192182305843009284527781","2305843009261077548230584300926361052623058430092647937032305843009284726947","2305843009262812954230584300926405610023058430092678399432305843009268900652","2305843009262957425230584300926353482223058430092640852332305843009264667889","2305843009263463212230584300926780639123058430092897652542305843009291724659","2305843009263525940230584300926696153123058430092676540272305843009291374230","2305843009264665801230584300926902909423058430092697802582305843009285127822"
